zona,year,secchi_median,n
BAHIA PUNO,2011,10.0000,79
BAHIA PUNO,2012,7.0000,3
BAHIA PUNO,2013,6.5000,9
BAHIA PUNO,2014,6.7500,4
BAHIA PUNO,2015,7.5000,8
BAHIA PUNO,2016,7.7500,12
BAHIA PUNO,2017,6.0000,7
BAHIA PUNO,2018,7.0000,8
BAHIA PUNO,2019,8.0000,8
BAHIA PUNO,2022,8.2500,4
BAHIA PUNO,2024,9.0000,5
LAGO MAYOR,2012,11.7500,60
LAGO MAYOR,2013,7.0000,63
LAGO MAYOR,2014,10.0000,59
LAGO MAYOR,2015,9.0000,86
LAGO MAYOR,2016,10.0000,41
LAGO MAYOR,2017,10.0000,36
LAGO MAYOR,2018,10.5000,33
LAGO MAYOR,2019,10.0000,35
LAGO MAYOR,2022,14.0000,37
LAGO MAYOR,2024,10.7500,42
LAGO MENOR,2012,6.0000,9
LAGO MENOR,2013,5.5000,10
LAGO MENOR,2014,6.0000,6
LAGO MENOR,2015,5.0000,13
LAGO MENOR,2017,6.5000,11
LAGO MENOR,2018,7.0000,10
LAGO MENOR,2019,8.5000,11
LAGO MENOR,2022,5.5000,12
LAGO MENOR,2024,4.0000,13
