row_id,station,zona,date,lat,lon,secchi,chl,tss,temp_insitu,sensor,matched,n_img,B2,B3,B4,B8,B11,B12,lst_C
0,E01,BAHIA PUNO,2013-10-04,-15.8521,-69.9614,,9.85,27.33,16.4,LS,0,,,,,,,,
1,E02,BAHIA PUNO,2013-10-04,-15.8461,-69.9271,5.0,1.77,29.67,14.5,LS,0,,,,,,,,
2,E03,BAHIA PUNO,2013-10-04,-15.8728,-69.9012,5.0,1.3,21.33,14.6,LS,0,,,,,,,,
3,E04,BAHIA PUNO,2013-10-04,-15.8628,-69.871,6.0,0.88,22.33,14.5,LS,0,,,,,,,,
4,E05,BAHIA PUNO,2013-10-05,-15.84,-69.8923,7.0,1.42,29.0,12.6,LS,0,,,,,,,,
5,E06,BAHIA PUNO,2013-10-05,-15.8183,-69.9124,6.0,1.7,31.33,13.3,LS,0,,,,,,,,
6,E07,BAHIA PUNO,2013-10-05,-15.7974,-69.8874,7.0,1.77,24.33,13.3,LS,0,,,,,,,,
7,E08,BAHIA PUNO,2013-10-05,-15.8342,-69.8592,,1.36,33.0,13.5,LS,0,,,,,,,,
8,E09,BAHIA PUNO,2013-10-05,-15.8023,-69.8507,6.9,0.82,26.33,13.5,LS,0,,,,,,,,
9,E10,BAHIA PUNO,2013-10-05,-15.7611,-69.8642,7.0,1.3,15.67,13.4,LS,0,,,,,,,,
10,E11,BAHIA PUNO,2013-10-05,-15.779,-69.8226,6.5,0.47,19.33,13.6,LS,0,,,,,,,,
11,E12,LAGO MAYOR,2013-10-05,-15.7318,-69.7936,7.0,1.83,16.67,13.2,LS,0,,,,,,,,
12,E12,LAGO MAYOR,2013-10-05,-15.7932,-69.7869,6.5,0.35,24.67,13.4,LS,0,,,,,,,,
13,E14,LAGO MAYOR,2013-10-05,-15.774,-69.74,6.3,0.88,17.0,12.7,LS,0,,,,,,,,
14,E15,LAGO MAYOR,2013-10-06,-15.2941,-69.6709,5.5,1.36,19.0,13.0,LS,0,,,,,,,,
15,E16,LAGO MAYOR,2013-10-06,-15.3384,-69.7208,5.5,1.36,19.33,13.0,LS,0,,,,,,,,
16,E17,LAGO MAYOR,2013-10-06,-15.3928,-69.7822,7.5,1.29,15.0,13.7,LS,0,,,,,,,,
17,E18,LAGO MAYOR,2013-10-06,-15.4461,-69.8423,,2.18,13.33,13.6,LS,0,,,,,,,,
18,E19,LAGO MAYOR,2013-10-06,-15.5435,-69.8391,7.1,1.29,6.33,13.5,LS,0,,,,,,,,
19,E20,LAGO MAYOR,2013-10-06,-15.4873,-69.7731,6.5,2.18,7.33,13.1,LS,0,,,,,,,,
20,E21,LAGO MAYOR,2013-10-06,-15.4339,-69.7105,7.5,1.76,4.0,13.3,LS,0,,,,,,,,
21,E22,LAGO MAYOR,2013-10-06,-15.3722,-69.638,7.0,1.76,6.67,14.0,LS,0,,,,,,,,
22,E23,LAGO MAYOR,2013-10-07,-15.3845,-69.5367,5.4,2.71,5.67,12.8,LS,0,,,,,,,,
23,E24,LAGO MAYOR,2013-10-07,-15.4374,-69.5966,7.5,1.83,10.67,13.3,LS,0,,,,,,,,
24,E25,LAGO MAYOR,2013-10-07,-15.4944,-69.6611,7.0,0.41,13.67,13.5,LS,0,,,,,,,,
25,E26,LAGO MAYOR,2013-10-07,-15.556,-69.7309,8.7,0.41,6.0,14.0,LS,0,,,,,,,,
26,E27,LAGO MAYOR,2013-10-07,-15.6112,-69.7935,6.0,0.88,11.33,13.7,LS,0,,,,,,,,
27,E28,LAGO MAYOR,2013-10-08,-15.7104,-69.7385,7.0,0.95,3.0,13.0,LS,0,,,,,,,,
