row_id,station,zona,date,lat,lon,secchi,chl,tss,temp_insitu,ph,do,matched,n_img,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
0,E45,LAGO MAYOR,2017-07-27,-15.8939,-69.3092,11.0,0.41,,12.4,8.39,5.47,1,4,0.01125,0.01171,0.00908,0.00325,0.00251,0.00183,0.00242,0.00159,0.00215,0.00125,0.00141
1,E01,BAHIA PUNO,2016-08-03,-15.853,-69.9605,8.5,0.18,30.0,12.9,8.74,6.9,1,2,0.00839,0.00987,0.01249,0.00476,0.00373,0.00321,0.00381,0.00388,0.00387,0.00612,0.00525
2,E02,BAHIA PUNO,2016-08-03,-15.8482,-69.9182,9.5,0.03,38.75,13.0,8.69,6.82,1,4,0.01583,0.01416,0.01338,0.0039,0.00282,0.00183,0.00193,0.0017,0.00173,0.00072,0.00081
3,E03,BAHIA PUNO,2016-08-03,-15.8745,-69.9079,,0.68,31.75,13.3,8.75,7.51,1,4,0.01522,0.01419,0.01856,0.00398,0.00268,0.00139,0.00134,0.00146,0.00111,0.00191,0.00172
4,E04,BAHIA PUNO,2016-08-03,-15.8789,-69.8907,7.0,1.27,1.5,13.2,8.79,7.31,1,4,0.01419,0.01312,0.01334,0.0034,0.00195,0.00141,0.00125,0.00133,0.00103,0.00165,0.00237
5,E05,BAHIA PUNO,2016-08-03,-15.8398,-69.8918,7.0,0.37,37.25,13.0,8.75,6.8,1,4,0.01556,0.01402,0.01291,0.0037,0.00273,0.00189,0.00191,0.00168,0.00162,0.00093,0.00067
6,E06,BAHIA PUNO,2016-08-03,-15.8053,-69.9118,,0.27,43.25,12.5,8.77,8.33,1,4,0.01516,0.0138,0.01802,0.00399,0.00271,0.00153,0.00197,0.00147,0.00115,0.00076,0.00078
7,E07,BAHIA PUNO,2016-08-03,-15.7748,-69.8851,5.0,0.25,39.5,12.6,8.81,8.07,1,4,0.01399,0.01262,0.01436,0.00341,0.00241,0.00153,0.00157,0.00167,0.00144,0.00078,0.00088
8,E08,BAHIA PUNO,2016-08-03,-15.801,-69.8724,8.5,0.76,21.5,12.7,8.68,6.67,1,4,0.01477,0.01261,0.01173,0.00327,0.00246,0.00182,0.00186,0.00155,0.00126,0.00046,0.00092
9,E09,BAHIA PUNO,2016-08-03,-15.8342,-69.8592,6.0,0.49,44.0,12.8,8.73,7.0,1,4,0.0152,0.01391,0.01795,0.00424,0.00282,0.00159,0.00168,0.00164,0.00175,0.00111,0.00087
10,E10,BAHIA PUNO,2016-08-04,-15.7938,-69.8376,,0.04,25.75,12.4,8.73,6.66,1,2,0.01326,0.01092,0.01206,0.00211,0.00094,0.00052,0.00042,0.00041,0.00039,0.00134,0.002
11,E13,BAHIA PUNO,2016-08-04,-15.7895,-69.7698,9.0,0.88,20.0,12.5,8.69,6.48,1,2,0.01403,0.01125,0.01022,0.00353,0.00231,0.00123,0.00136,0.00141,0.00089,0.00062,0.00057
12,E14,BAHIA PUNO,2016-08-04,-15.7489,-69.783,9.5,0.21,17.0,12.7,8.72,6.64,1,2,0.01454,0.01115,0.01042,0.00264,0.00196,0.0008,0.00102,0.00096,0.00097,0.00039,0.00088
13,E15,BAHIA PUNO,2016-08-04,-15.715,-69.8226,8.5,0.51,33.5,12.5,8.76,6.65,1,1,0.01496,0.01309,0.01252,0.00374,0.00251,0.00103,0.00198,0.00179,0.00114,0.00154,0.00183
14,E16,BAHIA PUNO,2016-08-04,-15.6737,-69.8541,6.5,0.01,26.5,12.4,8.76,6.7,1,2,0.01296,0.01239,0.01381,0.00419,0.00265,0.00154,0.00145,0.00125,0.0017,0.00261,0.00294
15,E17,BAHIA PUNO,2016-08-04,-15.6048,-69.9059,3.5,1.98,25.75,12.5,8.83,7.39,1,2,0.012,0.01306,0.0179,0.008,0.00684,0.00358,0.00315,0.00333,0.00258,0.00364,0.00369
