sensor,station,zona,date,lat,lon,secchi,w1_n,w1_B2,w1_B3,w1_B4,w1_B8,w1_B11,w1_B12,w3_n,w3_B2,w3_B3,w3_B4,w3_B8,w3_B11,w3_B12,w5_n,w5_B2,w5_B3,w5_B4,w5_B8,w5_B11,w5_B12,w10_n,w10_B2,w10_B3,w10_B4,w10_B8,w10_B11,w10_B12
S2,E45,LAGO MAYOR,2017-07-27,-15.893900,-69.309200,11.000000,1,0.013092,0.009544,0.004095,0.002303,0.001661,0.001608,1,0.013092,0.009544,0.004095,0.002303,0.001661,0.001608,2,0.009935,0.007897,0.002740,0.001196,0.001188,0.001386,4,0.011714,0.009082,0.003251,0.001593,0.001249,0.001407
S2,E01,BAHIA PUNO,2016-08-03,-15.853000,-69.960500,8.500000,0,,,,,,,1,0.011532,0.013804,0.006060,0.005075,0.006430,0.005408,1,0.011532,0.013804,0.006060,0.005075,0.006430,0.005408,2,0.009870,0.012485,0.004758,0.003881,0.006123,0.005250
S2,E02,BAHIA PUNO,2016-08-03,-15.848200,-69.918200,9.500000,0,,,,,,,2,0.015811,0.014008,0.004420,0.002320,0.001089,0.000996,2,0.015811,0.014008,0.004420,0.002320,0.001089,0.000996,4,0.014160,0.013379,0.003898,0.001704,0.000720,0.000813
S2,E04,BAHIA PUNO,2016-08-03,-15.878900,-69.890700,7.000000,0,,,,,,,2,0.014184,0.013872,0.004349,0.002263,0.001911,0.002446,2,0.014184,0.013872,0.004349,0.002263,0.001911,0.002446,4,0.013119,0.013339,0.003399,0.001331,0.001652,0.002372
S2,E05,BAHIA PUNO,2016-08-03,-15.839800,-69.891800,7.000000,0,,,,,,,2,0.015473,0.013785,0.004628,0.002322,0.001063,0.000614,2,0.015473,0.013785,0.004628,0.002322,0.001063,0.000614,4,0.014020,0.012912,0.003703,0.001681,0.000928,0.000674
S2,E07,BAHIA PUNO,2016-08-03,-15.774800,-69.885100,5.000000,0,,,,,,,2,0.013852,0.014855,0.004408,0.002334,0.001252,0.000993,2,0.013852,0.014855,0.004408,0.002334,0.001252,0.000993,4,0.012620,0.014365,0.003415,0.001672,0.000781,0.000883
S2,E08,BAHIA PUNO,2016-08-03,-15.801000,-69.872400,8.500000,0,,,,,,,2,0.014055,0.012726,0.004122,0.002354,0.000611,0.001128,2,0.014055,0.012726,0.004122,0.002354,0.000611,0.001128,4,0.012609,0.011734,0.003274,0.001548,0.000459,0.000922
S2,E09,BAHIA PUNO,2016-08-03,-15.834200,-69.859200,6.000000,0,,,,,,,2,0.014109,0.018304,0.004653,0.002194,0.001259,0.000868,2,0.014109,0.018304,0.004653,0.002194,0.001259,0.000868,4,0.013911,0.017950,0.004236,0.001640,0.001115,0.000866
S2,E13,BAHIA PUNO,2016-08-04,-15.789500,-69.769800,9.000000,0,,,,,,,1,0.013094,0.011664,0.004505,0.002192,0.000773,0.001028,1,0.013094,0.011664,0.004505,0.002192,0.000773,0.001028,2,0.011253,0.010220,0.003534,0.001409,0.000616,0.000572
S2,E14,BAHIA PUNO,2016-08-04,-15.748900,-69.783000,9.500000,0,,,,,,,1,0.013278,0.011735,0.003895,0.001906,0.000691,0.001023,1,0.013278,0.011735,0.003895,0.001906,0.000691,0.001023,2,0.011149,0.010419,0.002639,0.000956,0.000393,0.000882
S2,E15,BAHIA PUNO,2016-08-04,-15.715000,-69.822600,8.500000,0,,,,,,,1,0.013087,0.012516,0.003742,0.001794,0.001543,0.001833,1,0.013087,0.012516,0.003742,0.001794,0.001543,0.001833,1,0.013087,0.012516,0.003742,0.001794,0.001543,0.001833
S2,E16,BAHIA PUNO,2016-08-04,-15.673700,-69.854100,6.500000,0,,,,,,,2,0.012391,0.013810,0.004189,0.001253,0.002615,0.002938,2,0.012391,0.013810,0.004189,0.001253,0.002615,0.002938,2,0.012391,0.013810,0.004189,0.001253,0.002615,0.002938
S2,E17,BAHIA PUNO,2016-08-04,-15.604800,-69.905900,3.500000,0,,,,,,,2,0.013064,0.017899,0.008003,0.003326,0.003642,0.003692,2,0.013064,0.017899,0.008003,0.003326,0.003642,0.003692,2,0.013064,0.017899,0.008003,0.003326,0.003642,0.003692
S2,E27,LAGO MAYOR,2016-08-05,-15.450800,-69.837900,9.800000,2,0.012080,0.011916,0.003143,0.001547,0.000703,0.001059,2,0.012080,0.011916,0.003143,0.001547,0.000703,0.001059,2,0.012080,0.011916,0.003143,0.001547,0.000703,0.001059,2,0.012080,0.011916,0.003143,0.001547,0.000703,0.001059
S2,E28,LAGO MAYOR,2016-08-05,-15.392800,-69.782200,8.800000,2,0.015716,0.015447,0.003956,0.001349,0.000450,0.000500,2,0.015716,0.015447,0.003956,0.001349,0.000450,0.000500,2,0.015716,0.015447,0.003956,0.001349,0.000450,0.000500,2,0.015716,0.015447,0.003956,0.001349,0.000450,0.000500
S2,E32,LAGO MAYOR,2016-08-05,-15.338400,-69.720500,9.800000,1,0.009325,0.009452,0.000229,0.000000,0.000042,0.001431,1,0.009325,0.009452,0.000229,0.000000,0.000042,0.001431,1,0.009325,0.009452,0.000229,0.000000,0.000042,0.001431,1,0.009325,0.009452,0.000229,0.000000,0.000042,0.001431
S2,E33,LAGO MAYOR,2016-08-05,-15.333000,-69.756000,4.600000,1,0.036412,0.054259,0.034265,0.001239,0.000165,0.001068,1,0.036412,0.054259,0.034265,0.001239,0.000165,0.001068,1,0.036412,0.054259,0.034265,0.001239,0.000165,0.001068,1,0.036412,0.054259,0.034265,0.001239,0.000165,0.001068
S2,E36,LAGO MAYOR,2016-08-05,-15.297100,-69.681400,9.000000,1,0.009479,0.010175,0.000873,0.000000,0.000107,0.000716,1,0.009479,0.010175,0.000873,0.000000,0.000107,0.000716,1,0.009479,0.010175,0.000873,0.000000,0.000107,0.000716,1,0.009479,0.010175,0.000873,0.000000,0.000107,0.000716
S2,E39,LAGO MAYOR,2016-08-06,-15.374800,-69.527600,5.000000,1,0.009538,0.011810,0.000000,0.000000,0.002385,0.003081,1,0.009538,0.011810,0.000000,0.000000,0.002385,0.003081,1,0.009538,0.011810,0.000000,0.000000,0.002385,0.003081,1,0.009538,0.011810,0.000000,0.000000,0.002385,0.003081
S2,E41,LAGO MAYOR,2016-08-06,-15.439200,-69.600900,11.000000,2,0.012063,0.011166,0.003661,0.001434,0.001532,0.001317,2,0.012063,0.011166,0.003661,0.001434,0.001532,0.001317,2,0.012063,0.011166,0.003661,0.001434,0.001532,0.001317,2,0.012063,0.011166,0.003661,0.001434,0.001532,0.001317
S2,E42,LAGO MAYOR,2016-08-06,-15.496700,-69.668500,11.000000,1,0.014022,0.011920,0.005164,0.002332,0.000998,0.000924,1,0.014022,0.011920,0.005164,0.002332,0.000998,0.000924,1,0.014022,0.011920,0.005164,0.002332,0.000998,0.000924,1,0.014022,0.011920,0.005164,0.002332,0.000998,0.000924
S2,E43,LAGO MAYOR,2016-08-04,-15.560300,-69.741100,11.000000,0,,,,,,,1,0.014406,0.012720,0.005279,0.002886,0.001548,0.001061,1,0.014406,0.012720,0.005279,0.002886,0.001548,0.001061,1,0.014406,0.012720,0.005279,0.002886,0.001548,0.001061
S2,E22,LAGO MAYOR,2016-08-05,-15.618100,-69.807000,10.200000,1,0.012895,0.011270,0.003524,0.001523,0.001324,0.001550,1,0.012895,0.011270,0.003524,0.001523,0.001324,0.001550,1,0.012895,0.011270,0.003524,0.001523,0.001324,0.001550,1,0.012895,0.011270,0.003524,0.001523,0.001324,0.001550
S2,E48,LAGO MAYOR,2016-08-08,-15.536100,-69.359700,14.500000,0,,,,,,,1,0.012228,0.010491,0.004449,0.003651,0.002970,0.002583,1,0.012228,0.010491,0.004449,0.003651,0.002970,0.002583,1,0.012228,0.010491,0.004449,0.003651,0.002970,0.002583
S2,E49,LAGO MAYOR,2016-08-08,-15.606300,-69.444900,12.800000,0,,,,,,,1,0.012750,0.011879,0.005532,0.003585,0.002425,0.002427,1,0.012750,0.011879,0.005532,0.003585,0.002425,0.002427,1,0.012750,0.011879,0.005532,0.003585,0.002425,0.002427
S2,E50,LAGO MAYOR,2016-08-08,-15.668700,-69.521100,11.900000,0,,,,,,,1,0.012251,0.012067,0.005373,0.003261,0.002101,0.002093,1,0.012251,0.012067,0.005373,0.003261,0.002101,0.002093,1,0.012251,0.012067,0.005373,0.003261,0.002101,0.002093
S2,E51,LAGO MAYOR,2016-08-06,-15.737100,-69.603800,9.400000,1,0.013584,0.011839,0.005133,0.002975,0.001550,0.001407,1,0.013584,0.011839,0.005133,0.002975,0.001550,0.001407,1,0.013584,0.011839,0.005133,0.002975,0.001550,0.001407,1,0.013584,0.011839,0.005133,0.002975,0.001550,0.001407
S2,E52,LAGO MAYOR,2016-08-06,-15.802800,-69.684300,10.300000,1,0.011988,0.011791,0.004792,0.002654,0.002429,0.001885,1,0.011988,0.011791,0.004792,0.002654,0.002429,0.001885,1,0.011988,0.011791,0.004792,0.002654,0.002429,0.001885,2,0.012108,0.011492,0.004546,0.002371,0.002256,0.002088
S2,E58,LAGO MAYOR,2016-08-09,-15.951900,-69.545300,5.000000,0,,,,,,,0,,,,,,,1,0.014383,0.013471,0.006016,0.003340,0.002010,0.002567,2,0.014947,0.014198,0.005905,0.003571,0.002425,0.002476
S2,E59,LAGO MAYOR,2016-08-09,-15.887600,-69.461500,13.000000,0,,,,,,,0,,,,,,,1,0.012429,0.011422,0.004866,0.002865,0.001517,0.001364,2,0.012307,0.010893,0.004322,0.002422,0.001367,0.001148
S2,E60,LAGO MAYOR,2016-08-09,-15.827100,-69.377600,12.000000,0,,,,,,,0,,,,,,,1,0.012313,0.011108,0.004398,0.002398,0.001781,0.001605,1,0.012313,0.011108,0.004398,0.002398,0.001781,0.001605
S2,E61,LAGO MAYOR,2016-08-08,-15.758500,-69.304500,10.200000,0,,,,,,,1,0.011942,0.011560,0.004811,0.002983,0.002037,0.001768,1,0.011942,0.011560,0.004811,0.002983,0.002037,0.001768,1,0.011942,0.011560,0.004811,0.002983,0.002037,0.001768
S2,E68,LAGO MAYOR,2016-08-08,-15.993500,-69.427800,5.500000,0,,,,,,,1,0.013448,0.012260,0.005182,0.003064,0.001705,0.001289,1,0.013448,0.012260,0.005182,0.003064,0.001705,0.001289,2,0.014195,0.012786,0.005313,0.003277,0.002008,0.001494
S2,E72,LAGO MAYOR,2016-08-09,-15.692100,-69.170900,5.800000,0,,,,,,,0,,,,,,,1,0.017711,0.021580,0.006964,0.003500,0.005628,0.005488,1,0.017711,0.021580,0.006964,0.003500,0.005628,0.005488
S2,E76,LAGO MAYOR,2016-08-11,-15.812500,-69.044900,12.500000,0,,,,,,,0,,,,,,,0,,,,,,,1,0.009383,0.009769,0.004017,0.002349,0.001932,0.002005
S2,E78,LAGO MAYOR,2016-08-11,-15.890300,-69.132700,13.500000,0,,,,,,,0,,,,,,,0,,,,,,,1,0.010503,0.010878,0.004659,0.003003,0.002178,0.002518
S2,E79,LAGO MAYOR,2016-08-11,-15.960000,-69.227200,11.500000,0,,,,,,,0,,,,,,,1,0.010173,0.010283,0.003438,0.001778,0.001165,0.001376,2,0.010579,0.010738,0.004191,0.002510,0.001874,0.001938
S2,E80,LAGO MAYOR,2016-08-11,-16.031600,-69.319800,10.500000,0,,,,,,,0,,,,,,,1,0.011970,0.010218,0.003330,0.001707,0.000763,0.001299,2,0.011749,0.010226,0.003312,0.001711,0.000933,0.001246
S2,E82,LAGO MAYOR,2016-08-10,-16.110900,-69.417300,8.200000,0,,,,,,,0,,,,,,,1,0.014191,0.012807,0.005926,0.003959,0.002002,0.001947,2,0.014254,0.012757,0.005772,0.003854,0.002078,0.001942
S2,E83,LAGO MAYOR,2016-08-10,-16.183700,-69.506700,5.500000,0,,,,,,,0,,,,,,,1,0.015029,0.013800,0.005970,0.003248,0.002541,0.002893,2,0.014883,0.013933,0.005855,0.003360,0.002726,0.002708
S2,E84,LAGO MAYOR,2016-08-10,-16.200700,-69.462400,4.700000,0,,,,,,,0,,,,,,,1,0.012577,0.012148,0.005272,0.003787,0.005935,0.006362,2,0.012837,0.012935,0.005658,0.004360,0.006521,0.006559
S2,E85,LAGO MAYOR,2016-08-10,-16.159900,-69.444400,9.800000,0,,,,,,,0,,,,,,,1,0.014123,0.012803,0.005870,0.003563,0.002344,0.001998,2,0.014373,0.013248,0.005743,0.003722,0.002190,0.002385
S2,E88,LAGO MAYOR,2016-08-10,-16.206400,-69.378100,6.500000,0,,,,,,,0,,,,,,,1,0.014112,0.012305,0.004910,0.002977,0.001259,0.001029,2,0.014848,0.013629,0.005587,0.003722,0.001942,0.001948
