zone,zone_label,year,secchi_median,n_years,start_year,z,p_value,sen_slope_m_per_yr,significant_at_005
BAHIA PUNO,Bahia de Puno,2011,10.0,11,2011,1.171,0.2415,0.125,False
BAHIA PUNO,Bahia de Puno,2012,7.0,11,2011,1.171,0.2415,0.125,False
BAHIA PUNO,Bahia de Puno,2013,6.5,11,2011,1.171,0.2415,0.125,False
BAHIA PUNO,Bahia de Puno,2014,6.75,11,2011,1.171,0.2415,0.125,False
BAHIA PUNO,Bahia de Puno,2015,7.5,11,2011,1.171,0.2415,0.125,False
BAHIA PUNO,Bahia de Puno,2016,7.75,11,2011,1.171,0.2415,0.125,False
BAHIA PUNO,Bahia de Puno,2017,6.0,11,2011,1.171,0.2415,0.125,False
BAHIA PUNO,Bahia de Puno,2018,7.0,11,2011,1.171,0.2415,0.125,False
BAHIA PUNO,Bahia de Puno,2019,8.0,11,2011,1.171,0.2415,0.125,False
BAHIA PUNO,Bahia de Puno,2022,8.25,11,2011,1.171,0.2415,0.125,False
BAHIA PUNO,Bahia de Puno,2024,9.0,11,2011,1.171,0.2415,0.125,False
LAGO MENOR,Lago Menor,2012,6.0,9,2012,0.0,1.0,0.0,False
LAGO MENOR,Lago Menor,2013,5.5,9,2012,0.0,1.0,0.0,False
LAGO MENOR,Lago Menor,2014,6.0,9,2012,0.0,1.0,0.0,False
LAGO MENOR,Lago Menor,2015,5.0,9,2012,0.0,1.0,0.0,False
LAGO MENOR,Lago Menor,2017,6.5,9,2012,0.0,1.0,0.0,False
LAGO MENOR,Lago Menor,2018,7.0,9,2012,0.0,1.0,0.0,False
LAGO MENOR,Lago Menor,2019,8.5,9,2012,0.0,1.0,0.0,False
LAGO MENOR,Lago Menor,2022,5.5,9,2012,0.0,1.0,0.0,False
LAGO MENOR,Lago Menor,2024,4.0,9,2012,0.0,1.0,0.0,False
LAGO MAYOR,Lago Mayor,2012,11.75,10,2012,1.483,0.138,0.15,False
LAGO MAYOR,Lago Mayor,2013,7.0,10,2012,1.483,0.138,0.15,False
LAGO MAYOR,Lago Mayor,2014,10.0,10,2012,1.483,0.138,0.15,False
LAGO MAYOR,Lago Mayor,2015,9.0,10,2012,1.483,0.138,0.15,False
LAGO MAYOR,Lago Mayor,2016,10.0,10,2012,1.483,0.138,0.15,False
LAGO MAYOR,Lago Mayor,2017,10.0,10,2012,1.483,0.138,0.15,False
LAGO MAYOR,Lago Mayor,2018,10.5,10,2012,1.483,0.138,0.15,False
LAGO MAYOR,Lago Mayor,2019,10.0,10,2012,1.483,0.138,0.15,False
LAGO MAYOR,Lago Mayor,2022,14.0,10,2012,1.483,0.138,0.15,False
LAGO MAYOR,Lago Mayor,2024,10.75,10,2012,1.483,0.138,0.15,False
