band,band_label,ls_roy,s2
B2,Blue,0.02469,0.0174
B2,Blue,0.02695,0.01882
B2,Blue,0.02502,0.01722
B2,Blue,0.02689,0.02182
B2,Blue,0.02807,0.02058
B2,Blue,0.02408,0.00987
B2,Blue,0.0283,0.01126
B2,Blue,0.03975,0.01679
B2,Blue,0.02582,0.0163
B2,Blue,0.02767,0.01999
B2,Blue,0.02667,0.01416
B2,Blue,0.0234,0.01402
B2,Blue,0.02736,0.01314
B2,Blue,0.02321,0.01873
B2,Blue,0.02774,0.01849
B2,Blue,0.02631,0.01828
B2,Blue,0.02789,0.01312
B2,Blue,0.02463,0.01449
B2,Blue,0.02671,0.01402
B2,Blue,0.02416,0.01398
B2,Blue,0.02557,0.01623
B2,Blue,0.0236,0.0186
B2,Blue,0.02668,0.01709
B2,Blue,0.0279,0.01262
B2,Blue,0.02811,0.01261
B2,Blue,0.0394,0.01555
B2,Blue,0.02398,0.01842
B2,Blue,0.02676,0.0179
B2,Blue,0.02994,0.01391
B2,Blue,0.02233,0.01168
B2,Blue,0.02125,0.01126
B2,Blue,0.02278,0.0078
B2,Blue,0.02221,0.01257
B2,Blue,0.02529,0.01277
B2,Blue,0.02301,0.01436
B2,Blue,0.02448,0.00675
B2,Blue,0.02199,0.00956
B2,Blue,0.02167,0.01964
B2,Blue,0.02892,0.0075
B2,Blue,0.02306,0.01201
B2,Blue,0.02652,0.02166
B2,Blue,0.02307,0.01081
B2,Blue,0.02143,0.0114
B2,Blue,0.02365,0.01535
B2,Blue,0.02288,0.0155
B2,Blue,0.02463,0.01311
B2,Blue,0.02362,0.01086
B2,Blue,0.02131,0.01221
B2,Blue,0.02374,0.01452
B2,Blue,0.02315,0.01867
B2,Blue,0.02497,0.01572
B2,Blue,0.02132,0.01217
B2,Blue,0.02169,0.01057
B2,Blue,0.02099,0.01221
B2,Blue,0.02293,0.01409
B2,Blue,0.02354,0.01419
B2,Blue,0.02385,0.01393
B2,Blue,0.02347,0.00908
B2,Blue,0.01998,0.01249
B2,Blue,0.02311,0.00045
B2,Blue,0.0225,0.00924
B2,Blue,0.02446,0.0139
B2,Blue,0.01921,0.01596
B2,Blue,0.02339,0.00018
B2,Blue,0.02307,0.00764
B2,Blue,0.02546,0.01005
B2,Blue,0.01832,0.01612
B2,Blue,0.02191,0.00538
B2,Blue,0.0243,0.01679
B2,Blue,0.02741,0.02516
B2,Blue,0.0212,0.00525
B2,Blue,0.02838,0.02056
B2,Blue,0.03769,0.02921
B2,Blue,0.03687,0.03663
B2,Blue,0.02894,0.01905
B2,Blue,0.02563,0.01125
B2,Blue,0.02351,0.01429
B2,Blue,0.02338,0.01381
B2,Blue,0.02607,0.02589
B2,Blue,0.0249,0.01627
B2,Blue,0.02602,0.0214
B2,Blue,0.02397,0.01475
B2,Blue,0.02365,0.02062
B2,Blue,0.02436,0.01607
B2,Blue,0.02065,0.01269
B2,Blue,0.02626,0.01736
B2,Blue,0.02374,0.01649
B2,Blue,0.0231,0.01308
