station,zona,campaign_date,year,month,sensor,lat,lon,secchi,B2,B3,B4,B8,B11,B12,NDWI,NDTI,B2_B3,B4_B3,B3_B2,B2_B4
E45,LAGO MAYOR,2017-07-27,2017,7,S2,-15.8939,-69.3092,11.0,0.01171,0.00908,0.00325,0.00159,0.00125,0.00141,0.7019680691688783,-0.4728304563803361,1.2896474350608553,0.3579294759989564,0.7754055699909846,3.603075814438211
E01,BAHIA PUNO,2016-08-03,2016,8,S2,-15.853,-69.9605,8.5,0.00987,0.01249,0.00476,0.00388,0.00612,0.00525,0.5259620937103181,-0.4481159160512512,0.7902321224794139,0.38110485339432726,1.265450732983715,2.0735289761493747
E02,BAHIA PUNO,2016-08-03,2016,8,S2,-15.8482,-69.9182,9.5,0.01416,0.01338,0.0039,0.0017,0.00072,0.00081,0.77453575765678,-0.5486110793627847,1.058295885030203,0.29147979884306435,0.9449151875059896,3.6307682998030004
E04,BAHIA PUNO,2016-08-03,2016,8,S2,-15.8789,-69.8907,7.0,0.01312,0.01334,0.0034,0.00133,0.00165,0.00237,0.8186775174725619,-0.5937873002516547,0.9835081721508118,0.25487254461225306,1.0167682151853494,3.858822394464002
E05,BAHIA PUNO,2016-08-03,2016,8,S2,-15.8398,-69.8918,7.0,0.01402,0.01291,0.0037,0.00168,0.00093,0.00067,0.7697052248317188,-0.5544852164668744,1.085979776453929,0.28659951304418957,0.9208273237640996,3.7891881650842794
E07,BAHIA PUNO,2016-08-03,2016,8,S2,-15.7748,-69.8851,5.0,0.01262,0.01436,0.00341,0.00167,0.00078,0.00088,0.7916406243518014,-0.6162070559253204,0.8788300223655974,0.23746516452192448,1.137876296523273,3.700878680094229
E08,BAHIA PUNO,2016-08-03,2016,8,S2,-15.801,-69.8724,8.5,0.01261,0.01173,0.00327,0.00155,0.00046,0.00092,0.7665662073368821,-0.5639999624000025,1.0750212212258123,0.27877235475086487,0.9302140420131609,3.8562679338630175
E09,BAHIA PUNO,2016-08-03,2016,8,S2,-15.8342,-69.8592,6.0,0.01391,0.01795,0.00424,0.00164,0.00111,0.00087,0.832567594049638,-0.6178458486775192,0.7749303189453861,0.23621168600491999,1.2904384406586311,3.280659603618018
E13,BAHIA PUNO,2016-08-04,2016,8,S2,-15.7895,-69.7698,9.0,0.01125,0.01022,0.00353,0.00141,0.00062,0.00057,0.7575235806084626,-0.48654541916033317,1.1007826711562945,0.34540114037170844,0.9084443636938344,3.186967935703134
E14,BAHIA PUNO,2016-08-04,2016,8,S2,-15.7489,-69.783,9.5,0.01115,0.01042,0.00264,0.00096,0.00039,0.00088,0.8312828795006256,-0.5957120523957081,1.07005747888124,0.25335890082928014,0.934529064167797,4.223483248680588
E15,BAHIA PUNO,2016-08-04,2016,8,S2,-15.715,-69.8226,8.5,0.01309,0.01252,0.00374,0.00179,0.00154,0.00183,0.749825244596419,-0.5399753665451804,1.0455270730409687,0.2987220208688482,0.9564552363288591,3.4999990641713734
E16,BAHIA PUNO,2016-08-04,2016,8,S2,-15.6737,-69.8541,6.5,0.01239,0.01381,0.00419,0.00125,0.00261,0.00294,0.8339972885791974,-0.5344444147530881,0.8971758944840048,0.3034033089497966,1.1146084653261932,2.957039867054924
E17,BAHIA PUNO,2016-08-04,2016,8,S2,-15.6048,-69.9059,3.5,0.01306,0.0179,0.008,0.00333,0.00364,0.00369,0.6862929493032054,-0.3822393674811055,0.7296088977872125,0.4469273493336677,1.3705971385453952,1.6324997959375256
E27,LAGO MAYOR,2016-08-05,2016,8,S2,-15.4508,-69.8379,9.8,0.01208,0.01192,0.00314,0.00155,0.0007,0.00106,0.7698588886519014,-0.5830012893093434,1.0134227337732606,0.2634227966927184,0.9867548852024102,3.84713253276034
E28,LAGO MAYOR,2016-08-05,2016,8,S2,-15.3928,-69.7822,8.8,0.01572,0.01545,0.00396,0.00135,0.00045,0.0005,0.8392856643282344,-0.591962875220872,1.01747566229931,0.25631066302196354,0.9828243649602821,3.969695967248493
E32,LAGO MAYOR,2016-08-05,2016,8,S2,-15.3384,-69.7205,9.8,0.00932,0.00945,0.00023,0.0,4e-05,0.00143,0.9999998941799054,-0.9524792404463597,0.9862432818790179,0.02433862176310881,1.0139483890613317,40.52156294972631
E33,LAGO MAYOR,2016-08-05,2016,8,S2,-15.333,-69.756,4.6,0.03641,0.05426,0.03427,0.00124,0.00017,0.00107,0.9553152981024271,-0.22579916157461696,0.671028369498187,0.6315886356139212,1.4902498904078583,1.0624452564212064
E36,LAGO MAYOR,2016-08-05,2016,8,S2,-15.2971,-69.6814,9.0,0.00948,0.01018,0.00087,0.0,0.00011,0.00072,0.9999999017681825,-0.8425338604041757,0.9312376295444373,0.08546168119236924,1.0738395491730433,10.89653919938023
E39,LAGO MAYOR,2016-08-06,2016,8,S2,-15.3748,-69.5276,5.0,0.00954,0.01181,0.0,0.0,0.00238,0.00308,0.9999999153260022,-0.9999999153260022,0.8077899400685911,0.0,1.2379453628988089,9540000.0
E41,LAGO MAYOR,2016-08-06,2016,8,S2,-15.4392,-69.6009,11.0,0.01206,0.01117,0.00366,0.00143,0.00153,0.00132,0.7730158116654117,-0.5064058997703371,1.079677611488128,0.3276633547302279,0.926202244925187,3.2950810669177413
E42,LAGO MAYOR,2016-08-06,2016,8,S2,-15.4967,-69.6685,11.0,0.01402,0.01192,0.00516,0.00233,0.001,0.00092,0.6729824089135151,-0.3957845201531312,1.1761743979719466,0.4328858697243398,0.8502139193855979,2.71705373700509
E43,LAGO MAYOR,2016-08-04,2016,8,S2,-15.5603,-69.7411,11.0,0.01441,0.01272,0.00528,0.00289,0.00155,0.00106,0.6297244952130369,-0.41333331037037163,1.1328615461586835,0.4150943069894413,0.8827202718445336,2.729166149779138
E22,LAGO MAYOR,2016-08-05,2016,8,S2,-15.6181,-69.807,10.2,0.0129,0.01127,0.00352,0.00152,0.00132,0.00155,0.7623142484508015,-0.5240026691005633,1.1446316641853005,0.31233360139009747,0.8736433431284231,3.6647716861444075
E48,LAGO MAYOR,2016-08-08,2016,8,S2,-15.5361,-69.3597,14.5,0.01223,0.01049,0.00445,0.00365,0.00297,0.00258,0.4837340534841546,-0.4042837748136697,1.1658721481532748,0.4242134962618212,0.8577268309299403,2.7483139891429236
E49,LAGO MAYOR,2016-08-08,2016,8,S2,-15.6063,-69.4449,12.8,0.01275,0.01188,0.00553,0.00358,0.00243,0.00243,0.5368693055065132,-0.36473289116985114,1.0732322328929096,0.4654881763057091,0.931764632802774,2.3056053696916146
E50,LAGO MAYOR,2016-08-08,2016,8,S2,-15.6687,-69.5211,11.9,0.01225,0.01207,0.00537,0.00326,0.0021,0.00209,0.5746901125446764,-0.38417428989826324,1.014912923370926,0.4449046855919896,0.9853060420158334,2.2811913815286067
E51,LAGO MAYOR,2016-08-06,2016,8,S2,-15.7371,-69.6038,9.4,0.01358,0.01184,0.00513,0.00297,0.00155,0.00141,0.5989196084456713,-0.3954036302060324,1.1469593625878918,0.43327699043268664,0.8718703334410653,2.647172973260629
E52,LAGO MAYOR,2016-08-06,2016,8,S2,-15.8028,-69.6843,10.3,0.01211,0.01149,0.00455,0.00237,0.00226,0.00209,0.6580086105332893,-0.43266830220272434,1.0539598734586706,0.39599648424747746,0.948802564095577,2.6615378765850815
E58,LAGO MAYOR,2016-08-09,2016,8,S2,-15.9519,-69.5453,5.0,0.01495,0.0142,0.00591,0.00357,0.00243,0.00248,0.5981991784918864,-0.4122326995408901,1.0528168272664207,0.41619715378893285,0.9498327123857718,2.52961040108115
