station,lat,lon,residual,n,zone_label,x_km,y_km,local_I,p_local,lag,cluster,z,q_local
341,-15.439200,-69.600900,-1.416316,2,Lago Mayor,435.531488,8293.005594,1.105293,0.017500,-0.830117,LL,-1.331489,0.206088
B03,-15.994800,-69.427000,-1.279088,2,Lago Mayor,454.313056,8231.592908,0.455343,0.166300,-0.374397,ns,-1.216205,0.448696
E-145,-16.513900,-68.977000,-0.060229,2,Lago Menor,502.454418,8174.218361,0.042951,0.289000,-0.223415,ns,-0.192248,0.477182
E-147,-16.493000,-69.059600,-1.115605,2,Lago Menor,493.639172,8176.529513,0.081612,0.418100,-0.075646,ns,-1.078864,0.480795
E-148,-16.518700,-68.877300,-0.508161,2,Lago Menor,513.093471,8173.683539,-0.137853,0.272800,0.242463,ns,-0.568553,0.477182
E01,-15.852855,-69.960536,0.542882,11,Bahia de Puno,397.151704,8247.105409,0.337684,0.004400,1.073983,HH,0.314423,0.157300
E02,-15.846675,-69.924958,0.534081,12,Bahia de Puno,400.958454,8247.806148,0.286683,0.011200,0.933733,HH,0.307029,0.206088
E03,-15.862800,-69.905850,1.538201,4,Bahia de Puno,403.012365,8246.031251,0.912575,0.023300,0.793141,HH,1.150585,0.206088
E04,-15.877050,-69.881200,2.629756,4,Bahia de Puno,405.658405,8244.466106,1.323892,0.049700,0.640306,HH,2.067594,0.299704
E05,-15.839945,-69.892109,1.335116,11,Bahia de Puno,404.472928,8248.565832,0.805122,0.020600,0.821576,HH,0.979973,0.206088
E07,-15.772600,-69.874000,2.009904,3,Bahia de Puno,406.381223,8256.023979,1.442448,0.010900,0.932501,HH,1.546860,0.206088
E08,-15.780700,-69.863500,0.635055,10,Bahia de Puno,407.509679,8255.132569,0.440839,0.003100,1.125002,HH,0.391856,0.157300
E09,-15.821267,-69.836867,0.999434,3,Bahia de Puno,410.380427,8250.656496,0.749607,0.003700,1.073983,HH,0.697969,0.157300
E10,-15.774000,-69.740000,1.457809,1,Lago Mayor,420.735964,8255.924070,-0.472761,0.141700,-0.436510,ns,1.083048,0.433171
E100,-16.005417,-68.995983,-0.263524,12,Lago Mayor,500.429738,8230.465458,-0.141988,0.165100,0.391112,ns,-0.363035,0.448696
E101,-15.896200,-68.970700,-1.094291,1,Lago Mayor,503.136466,8242.546126,0.196621,0.316000,-0.185324,ns,-1.060958,0.477182
E102,-15.935600,-68.968400,0.552476,1,Lago Mayor,503.382015,8238.187916,-0.117508,0.183400,-0.364387,ns,0.322482,0.452118
E103,-15.939400,-68.901700,-1.139215,4,Lago Mayor,510.520440,8237.765361,0.383127,0.187400,-0.348710,ns,-1.098699,0.452118
E104,-16.020730,-68.877510,-1.370911,10,Lago Mayor,513.104054,8228.767719,-0.093561,0.433900,0.072340,ns,-1.293345,0.480810
E105,-15.986400,-68.801600,-1.420390,3,Lago Mayor,521.228599,8232.558857,0.051215,0.450100,-0.038366,ns,-1.334912,0.481931
E107,-16.069600,-68.936100,-1.533232,1,Lago Mayor,506.834391,8223.364780,-0.367454,0.260900,0.257013,ns,-1.429710,0.477182
E109,-16.261100,-69.261100,0.503318,1,Lago Mayor,472.100985,8202.165045,0.299738,0.003500,1.065983,HH,0.281185,0.157300
E110,-16.234500,-69.205400,0.938306,1,Lago Mayor,478.049706,8205.114258,0.341382,0.099300,0.527952,ns,0.646616,0.383466
E111,-16.256500,-69.184600,1.297884,1,Lago Mayor,480.274721,8202.682789,0.132115,0.354000,0.139259,ns,0.948695,0.477182
E112,-16.246200,-69.141900,-0.079410,1,Lago Mayor,484.836613,8203.825786,-0.015564,0.426500,0.074695,ns,-0.208362,0.480795
E113,-16.219655,-69.132482,-0.793881,11,Lago Mayor,485.841140,8206.762841,-0.123649,0.353600,0.152920,ns,-0.808585,0.477182
E115,-16.170900,-69.137500,-0.768604,1,Lago Mayor,485.301217,8212.155556,0.077518,0.401500,-0.098455,ns,-0.787350,0.478454
E116,-16.150100,-69.120700,-0.045883,1,Lago Mayor,487.095794,8214.457502,0.006308,0.462100,-0.035004,ns,-0.180196,0.484974
