lake,country,clarity,band,roy_intercept,native_ls_median,s2_median,harmonized_ls_median,harmonized_over_s2,n_ls,n_s2
Lake Titicaca,Peru/Bolivia,clear,B2,0.0183,0.007347,0.018848,0.024803,1.32,300,300
Lake Titicaca,Peru/Bolivia,clear,B3,0.0123,0.0077,0.014491,0.019474,1.34,300,300
Lake Titicaca,Peru/Bolivia,clear,B4,0.0123,0.000798,0.007451,0.013048,1.75,300,300
Lake Titicaca,Peru/Bolivia,clear,B8,0.0448,-0.000444,0.005158,0.04443,8.61,300,300
Lake Titicaca,Peru/Bolivia,clear,B11,0.0306,0.002129,0.003547,0.032439,9.15,300,300
Lake Titicaca,Peru/Bolivia,clear,B12,0.0116,0.002273,0.0033,0.013683,4.15,300,300
Lake Tahoe,United States,clear,B2,0.0183,0.015953,0.018545,0.032418,1.75,300,300
Lake Tahoe,United States,clear,B3,0.0123,0.007226,0.008703,0.019032,2.19,300,300
Lake Tahoe,United States,clear,B4,0.0123,-8.4e-05,0.002248,0.012221,5.44,300,300
Lake Tahoe,United States,clear,B8,0.0448,-0.000648,0.002466,0.044259,17.95,300,300
Lake Tahoe,United States,clear,B11,0.0306,0.000784,0.001815,0.031277,17.23,300,300
Lake Tahoe,United States,clear,B12,0.0116,0.001216,0.00208,0.012714,6.11,300,300
Lake Baikal,Russia,clear,B2,0.0183,0.010169,0.021916,0.0273,1.25,300,300
Lake Baikal,Russia,clear,B3,0.0123,0.011313,0.017137,0.02284,1.33,300,300
Lake Baikal,Russia,clear,B4,0.0123,0.001216,0.007792,0.013439,1.72,300,300
Lake Baikal,Russia,clear,B8,0.0448,-0.000956,0.005298,0.044003,8.31,300,300
Lake Baikal,Russia,clear,B11,0.0306,0.001246,0.002593,0.031676,12.22,300,300
Lake Baikal,Russia,clear,B12,0.0116,0.001627,0.002159,0.013091,6.06,300,300
Lake Malawi,Malawi/Mozambique,clear,B2,0.0183,0.009124,0.034522,0.026375,0.76,300,300
Lake Malawi,Malawi/Mozambique,clear,B3,0.0123,0.011344,0.026181,0.022869,0.87,300,300
Lake Malawi,Malawi/Mozambique,clear,B4,0.0123,0.00022,0.017379,0.012507,0.72,300,300
Lake Malawi,Malawi/Mozambique,clear,B8,0.0448,-0.001236,0.013074,0.043769,3.35,300,300
Lake Malawi,Malawi/Mozambique,clear,B11,0.0306,0.004205,0.007551,0.034233,4.53,300,300
Lake Malawi,Malawi/Mozambique,clear,B12,0.0116,0.004894,0.00615,0.016086,2.62,300,300
Lake Erie,United States/Canada,turbid,B2,0.0183,0.011168,0.043747,0.028183,0.64,300,300
Lake Erie,United States/Canada,turbid,B3,0.0123,0.017293,0.040656,0.028412,0.7,300,300
Lake Erie,United States/Canada,turbid,B4,0.0123,0.002958,0.025008,0.015072,0.6,300,300
Lake Erie,United States/Canada,turbid,B8,0.0448,-0.000796,0.018216,0.044136,2.42,300,300
Lake Erie,United States/Canada,turbid,B11,0.0306,0.004433,0.013302,0.03443,2.59,300,300
Lake Erie,United States/Canada,turbid,B12,0.0116,0.005251,0.011672,0.016413,1.41,300,300
Lake Okeechobee,United States,turbid,B2,0.0183,0.010382,0.040099,0.027488,0.69,300,300
Lake Okeechobee,United States,turbid,B3,0.0123,0.025498,0.040995,0.036056,0.88,300,300
Lake Okeechobee,United States,turbid,B4,0.0123,0.026082,0.042234,0.036744,0.87,300,300
Lake Okeechobee,United States,turbid,B8,0.0448,0.018089,0.033819,0.059884,1.77,300,300
Lake Okeechobee,United States,turbid,B11,0.0306,0.009853,0.013112,0.039112,2.98,300,300
Lake Okeechobee,United States,turbid,B12,0.0116,0.009603,0.011679,0.020401,1.75,300,300
