feature,label,mean_abs_shap,share,cumulative_share,band_group
B3_B2,Green/Blue,1.1500156453916248,0.3705694233112809,0.3705694233112809,Verde/azul
B3,Green,0.5547346665902829,0.17875209464574987,0.5493215179570308,Verde/azul
B2_B3,Blue/Green,0.48234845296710505,0.15542709246380687,0.7047486104208376,Verde/azul
B12,SWIR2,0.20856359546771094,0.06720542594868578,0.7719540363695234,NIR/SWIR
B11,SWIR1,0.16179907873314792,0.0521365005238874,0.8240905368934108,NIR/SWIR
B2_B4,Blue/Red,0.09496213313320073,0.030599638407176364,0.8546901753005872,Otras
NDTI,NDTI,0.08258100793165542,0.026610069704987967,0.8813002450055751,Otras
B4_B3,Red/Green,0.08084588373653812,0.02605096081378753,0.9073512058193627,Otras
B8,NIR,0.07744797284822741,0.024956052337202737,0.9323072581565655,NIR/SWIR
B4,Red,0.07512286933773603,0.02420683447179847,0.956514092628364,Otras
NDWI,NDWI,0.07028173808117665,0.02264687724416744,0.9791609698725314,Otras
B2,Blue,0.06467131169979276,0.020839030127468582,1.0,Verde/azul
