feature,value,shap,label
B2,0.011710,-0.026505,Blue
B2,0.009870,0.042505,Blue
B2,0.014160,0.023046,Blue
B2,0.013120,0.024518,Blue
B2,0.014020,0.023595,Blue
B2,0.012620,0.010670,Blue
B2,0.012610,-0.024100,Blue
B2,0.013910,0.030595,Blue
B2,0.011250,-0.071153,Blue
B2,0.011150,-0.067018,Blue
B2,0.013090,-0.005238,Blue
B2,0.012390,0.004632,Blue
B2,0.013060,-0.022160,Blue
B2,0.012080,0.083977,Blue
B2,0.015720,-0.004664,Blue
B2,0.009320,0.122526,Blue
B2,0.036410,-0.156604,Blue
B2,0.009480,0.129350,Blue
B2,0.009540,0.117419,Blue
B2,0.012060,-0.003644,Blue
B2,0.014020,0.112525,Blue
B2,0.014410,0.064341,Blue
B2,0.012900,0.002074,Blue
B2,0.012230,0.018688,Blue
B2,0.012750,0.019591,Blue
B2,0.012250,0.019564,Blue
B2,0.013580,-0.027345,Blue
B2,0.012110,-0.028282,Blue
B2,0.014950,0.047385,Blue
B2,0.012310,-0.005870,Blue
B2,0.012310,-0.020456,Blue
B2,0.011940,-0.052082,Blue
B2,0.014200,0.019457,Blue
B2,0.017710,0.077638,Blue
B2,0.009380,0.111679,Blue
B2,0.010500,0.082684,Blue
B2,0.010580,0.102559,Blue
B2,0.011750,0.041540,Blue
B2,0.014250,-0.028484,Blue
B2,0.014880,-0.015612,Blue
B2,0.012840,0.011125,Blue
B2,0.014370,-0.031646,Blue
B2,0.014850,-0.019986,Blue
B2,0.012370,0.018229,Blue
B2,0.010220,0.172441,Blue
B2,0.010670,0.019989,Blue
B2,0.012830,-0.031231,Blue
B2,0.011680,0.021610,Blue
B2,0.009560,0.124444,Blue
B2,0.010810,0.018277,Blue
B2,0.010860,0.033167,Blue
B2,0.012170,0.015629,Blue
B2,0.010570,-0.017431,Blue
B2,0.009080,0.028901,Blue
B2,0.011260,-0.053321,Blue
B2,0.014020,-0.020667,Blue
B2,0.013980,-0.036039,Blue
B2,0.013830,0.035010,Blue
B2,0.013330,-0.061674,Blue
B2,0.013550,-0.132013,Blue
B2,0.019110,0.077087,Blue
B2,0.011630,-0.044353,Blue
B2,0.012610,-0.064576,Blue
B2,0.010550,-0.055167,Blue
B2,0.008340,-0.003752,Blue
B2,0.006710,0.009468,Blue
B2,0.013900,0.020581,Blue
B2,0.013410,0.013388,Blue
B2,0.013190,0.001330,Blue
B2,0.010100,0.029021,Blue
B2,0.011150,-0.005676,Blue
B2,0.012660,0.104087,Blue
B2,0.011910,0.014973,Blue
B2,0.012670,0.045610,Blue
B2,0.013460,0.028838,Blue
B2,0.012530,-0.129069,Blue
B2,0.010380,0.030865,Blue
B2,0.014540,-0.020956,Blue
B2,0.007780,0.144118,Blue
B2,0.011700,-0.364934,Blue
B2,0.010450,-0.179362,Blue
B2,0.012710,0.027840,Blue
B2,0.014420,0.147924,Blue
B2,0.015280,0.049133,Blue
B2,0.015720,0.121024,Blue
B2,0.017250,0.203660,Blue
B2,0.011370,-0.175010,Blue
B2,0.010560,-0.016108,Blue
B2,0.012040,0.075202,Blue
B2,0.011260,0.023762,Blue
B2,0.019640,0.085881,Blue
B2,0.011400,-0.005168,Blue
B2,0.012210,0.033046,Blue
B2,0.012210,0.121946,Blue
B2,0.012490,0.011147,Blue
B2,0.015960,0.099203,Blue
B2,0.016120,-0.032519,Blue
B2,0.025160,0.004017,Blue
B2,0.014290,-0.121326,Blue
B2,0.012690,-0.096050,Blue
B2,0.014750,-0.000260,Blue
B2,0.013080,-0.221410,Blue
B2,0.016120,0.084696,Blue
B2,0.020580,0.130042,Blue
B2,0.017220,0.028011,Blue
B2,0.021820,0.064818,Blue
B2,0.013460,0.028838,Blue
B2,0.016790,0.013600,Blue
B2,0.013140,0.029850,Blue
B2,0.014490,0.007206,Blue
B2,0.016230,0.101451,Blue
B2,0.015550,0.083941,Blue
B2,0.009220,0.104894,Blue
B2,0.013620,0.010459,Blue
B2,0.012740,-0.078682,Blue
B2,0.014470,-0.057134,Blue
B2,0.010560,0.118472,Blue
B2,0.003350,0.153617,Blue
B2,0.004200,0.174018,Blue
B2,0.029880,-0.017653,Blue
B2,0.001790,0.069330,Blue
B2,0.008630,-0.030898,Blue
B2,0.009730,-0.043868,Blue
B2,0.005160,0.031821,Blue
B2,0.009630,0.103745,Blue
B2,0.030320,-0.000966,Blue
B2,0.013940,0.031883,Blue
B2,0.010710,0.049423,Blue
B2,0.011870,0.044475,Blue
B2,0.010300,0.099152,Blue
B2,0.013310,0.081493,Blue
B2,0.009440,0.100405,Blue
B2,0.009570,0.028911,Blue
B2,0.009610,0.012995,Blue
B2,0.012360,-0.659697,Blue
B2,0.013370,-0.059478,Blue
B2,0.010160,0.171633,Blue
B2,0.011390,-0.012533,Blue
B2,0.015220,0.104347,Blue
B2,0.015350,0.089913,Blue
B2,0.013430,0.049069,Blue
B2,0.013760,0.120874,Blue
B2,0.010340,-0.405387,Blue
B2,0.012570,0.149370,Blue
B2,0.007800,-0.401476,Blue
B2,0.007500,0.131069,Blue
B2,0.015350,-0.017839,Blue
B2,0.014520,-0.008813,Blue
B2,0.014090,-0.041013,Blue
B2,0.000450,0.149760,Blue
B2,0.000180,0.142501,Blue
B2,0.005380,0.146964,Blue
B2,0.005250,0.137161,Blue
B2,0.016270,-0.005307,Blue
B2,0.013810,-0.066471,Blue
B2,0.017360,0.121925,Blue
B2,0.017330,0.082479,Blue
B2,0.016100,0.140346,Blue
B2,0.017930,0.110213,Blue
B2,0.018810,0.095672,Blue
B2,0.018120,0.066678,Blue
B2,0.016300,0.016751,Blue
B2,0.018730,0.082093,Blue
B2,0.018600,0.112361,Blue
B2,0.018420,0.091286,Blue
B2,0.024890,0.030184,Blue
B2,0.028330,0.025503,Blue
B2,0.026040,-0.020512,Blue
B2,0.020800,0.072722,Blue
B2,0.017400,0.176606,Blue
B2,0.018550,0.165988,Blue
B2,0.018980,0.177783,Blue
B2,0.019040,0.195530,Blue
B2,0.020600,0.190342,Blue
B2,0.021270,0.324853,Blue
B2,0.020020,0.288203,Blue
B2,0.018800,0.170089,Blue
B2,0.018490,0.141887,Blue
B2,0.022440,0.160375,Blue
B2,0.021730,0.079215,Blue
B2,0.019540,0.189746,Blue
B2,0.020400,0.197547,Blue
B2,0.020090,0.146301,Blue
B2,0.020880,0.085800,Blue
B2,0.016730,0.143231,Blue
B2,0.017450,0.008401,Blue
B2,0.017200,0.028616,Blue
B2,0.019370,0.214639,Blue
B2,0.021030,0.151604,Blue
B2,0.020170,0.117766,Blue
B2,0.019430,0.185179,Blue
B2,0.022490,0.013540,Blue
B2,0.014540,0.039573,Blue
B2,0.017130,0.143716,Blue
B2,0.015300,0.135707,Blue
B2,0.012570,-0.207186,Blue
B2,0.014360,0.007768,Blue
B2,0.012010,-0.118621,Blue
